n,m,p,w,p_m,Optimal Solution Count,AVG Time,MIN Time,MAX Time,AVG Objective Value,MIN Objective Value,MAX Objective Value
40,5,1.0,5,0.5743491774985174,,,0.312999999965541,0.6709999999729916,0.0,0.0,0.0
40,5,1.0,10,0.757858283255199,,,0.0309999999590218,0.1869999999180436,0.0,0.0,0.0
40,7,0.6,1,0.009375,10.0,0.06269999998621638,0.0459999999729916,0.0939999999245628,6.1,2.0,8.0
40,7,0.6,5,0.26116516898883724,,,0.125,0.187999999965541,0.0,0.0,0.0
40,7,0.6,10,0.3958523732318682,,,0.2179999999934807,0.3280000000959262,0.0,0.0,0.0
40,7,0.8,1,0.0125,10.0,0.051499999978113886,0.0309999999590218,0.0779999999795109,8.4,4.0,14.0
40,7,0.8,5,0.34822022531844965,,,0.1559999999590218,0.25,0.0,0.0,0.0
40,7,0.8,10,0.5278031643091577,,,0.3279999999795109,0.515999999945052,0.0,0.0,0.0
40,7,1.0,1,0.015625,10.0,0.051600000006146694,0.0310000000754371,0.0780000000959262,10.2,7.0,12.0
40,7,1.0,5,0.43527528164806206,,,0.25,0.3429999999934807,0.0,0.0,0.0
40,7,1.0,10,0.6597539553864471,,,0.875,1.2030000000959262,0.0,0.0,0.0
40,9,0.6,1,0.00234375,10.0,0.03600000001024451,0.0150000000139698,0.0620000000344589,1.6,0.0,5.0
40,9,0.6,5,0.1979261866159341,,,0.1570000000065192,26.891000000061467,0.0,0.0,0.0
40,9,0.6,10,0.34460950649911043,,,0.234000000054948,0.4059999999590218,0.0,0.0,0.0
40,9,0.8,1,0.003125,10.0,0.03269999999320132,0.0150000000139698,0.0470000000204891,2.3,1.0,6.0
40,9,0.8,5,0.2639015821545789,,,0.1880000000819564,0.312999999965541,0.0,0.0,0.0
40,9,0.8,10,0.45947934199881396,,,0.3900000000139698,0.5,0.0,0.0,0.0
40,9,1.0,1,0.00390625,10.0,0.04999999999999997,0.0459999999729916,0.0630000000819563,3.9,1.0,10.0
40,9,1.0,5,0.32987697769322355,,,0.2029999999795109,0.25,0.0,0.0,0.0
40,9,1.0,10,0.5743491774985174,,,0.6089999999385327,1.0309999999590218,0.0,0.0,0.0
