n,m,p,w,optimal_solution,calc_time,gap,cuts,objective_value
10,9,0.6,1,integer optimal solution,0.0,0.0,0,0.0
10,9,0.6,1,integer optimal solution,0.0,0.0,0,0.0
10,9,0.6,1,integer optimal solution,0.015999999945051968,0.0,0,0.0
10,9,0.6,1,integer optimal solution,0.0,0.0,0,0.0
10,9,0.6,1,integer optimal solution,0.015999999945051968,0.0,0,0.0
10,9,0.6,1,integer optimal solution,0.015000000013969839,0.0,0,0.0
10,9,0.6,1,integer optimal solution,0.01600000006146729,0.0,0,1.0
10,9,0.6,1,integer optimal solution,0.015999999945051968,0.0,0,1.0
10,9,0.6,1,integer optimal solution,0.015999999945051968,0.0,0,0.0
10,9,0.6,10,integer optimal solution,0.1720000000204891,0.0,0,25.0
10,9,0.6,10,integer optimal solution,0.1720000000204891,0.0,0,39.0
10,9,0.6,10,integer optimal solution,0.1720000000204891,0.0,0,26.0
10,9,0.6,10,integer optimal solution,0.1559999999590218,0.0,0,35.0
10,9,0.6,10,integer optimal solution,0.1720000000204891,0.0,0,23.0
10,9,0.6,10,integer optimal solution,0.1559999999590218,0.0,0,37.0
10,9,0.6,10,integer optimal solution,0.1720000000204891,0.0,0,32.0
10,9,0.6,10,integer infeasible,0.015000000013969839,,,
10,9,0.6,10,integer optimal solution,0.1720000000204891,0.0,0,30.0
10,9,0.6,10,integer optimal solution,0.18700000003445894,0.0,0,25.0
10,9,0.6,5,integer optimal solution,0.09399999992456287,0.0,0,8.0
10,9,0.6,5,integer optimal solution,0.03100000007543713,0.0,0,8.0
10,9,0.6,5,integer optimal solution,0.062000000034458935,0.0,0,9.0
10,9,0.6,5,integer optimal solution,0.06299999996554106,0.0,0,12.0
10,9,0.6,5,integer optimal solution,0.030999999959021807,0.0,0,5.0
10,9,0.6,5,integer optimal solution,0.030999999959021807,0.0,0,2.0
10,9,0.6,5,integer optimal solution,0.07900000002700835,0.0,0,11.0
10,9,0.6,5,integer optimal solution,0.07800000009592623,0.0,0,9.0
10,9,0.6,5,integer optimal solution,0.030999999959021807,0.0,0,8.0
10,9,0.6,5,integer optimal solution,0.03200000000651926,0.0,0,8.0
10,9,0.8,1,integer optimal solution,0.015000000013969839,0.0,0,0.0
10,9,0.8,1,integer optimal solution,0.015999999945051968,0.0,0,0.0
10,9,0.8,1,integer optimal solution,0.015000000013969839,0.0,0,1.0
10,9,0.8,1,integer optimal solution,0.0,0.0,0,0.0
10,9,0.8,1,integer optimal solution,0.0,0.0,0,0.0
10,9,0.8,1,integer optimal solution,0.01600000006146729,0.0,0,0.0
10,9,0.8,1,integer optimal solution,0.015999999945051968,0.0,0,0.0
10,9,0.8,1,integer optimal solution,0.015999999945051968,0.0,0,0.0
10,9,0.8,1,integer optimal solution,0.0,0.0,0,0.0
10,9,0.8,1,integer optimal solution,0.0,0.0,0,1.0
10,9,0.8,10,integer infeasible,0.03100000007543713,,,
10,9,0.8,10,integer infeasible,0.015999999945051968,,,
10,9,0.8,10,integer infeasible,0.030999999959021807,,,
10,9,0.8,10,integer infeasible,0.03200000000651926,,,
10,9,0.8,10,integer infeasible,0.030999999959021807,,,
10,9,0.8,10,integer infeasible,0.015000000013969839,,,
10,9,0.8,10,integer infeasible,0.030999999959021807,,,
10,9,0.8,10,integer infeasible,0.030999999959021807,,,
10,9,0.8,10,integer infeasible,0.030999999959021807,,,
10,9,0.8,10,integer infeasible,0.03100000007543713,,,
10,9,0.8,5,integer optimal solution,0.125,0.0,0,12.0
10,9,0.8,5,integer optimal solution,0.06299999996554106,0.0,0,15.0
10,9,0.8,5,integer optimal solution,0.0470000000204891,0.0,0,16.0
10,9,0.8,5,integer optimal solution,0.06300000008195639,0.0,0,17.0
10,9,0.8,5,integer optimal solution,0.03100000007543713,0.0,0,9.0
10,9,0.8,5,integer optimal solution,0.17199999990407377,0.0,0,19.0
10,9,0.8,5,integer optimal solution,0.062000000034458935,0.0,0,15.0
10,9,0.8,5,integer optimal solution,0.1720000000204891,0.0,0,15.0
10,9,0.8,5,integer optimal solution,0.0779999999795109,0.0,0,17.0
10,9,0.8,5,integer optimal solution,0.17199999990407377,0.0,0,18.0
10,9,1.0,1,integer optimal solution,0.01600000006146729,0.0,0,1.0
10,9,1.0,1,integer optimal solution,0.015999999945051968,0.0,0,0.0
10,9,1.0,1,integer optimal solution,0.01600000006146729,0.0,0,2.0
10,9,1.0,1,integer optimal solution,0.0,0.0,0,0.0
10,9,1.0,1,integer optimal solution,0.015999999945051968,0.0,0,1.0
10,9,1.0,1,integer optimal solution,0.015000000013969839,0.0,0,1.0
